month,band,grade_sco,grade_dilbit,grade_sffp,grade_total
2025-08,act,1359.0,2224.8,1575.5,4229.8
2025-09,act,1308.4,2262.2,1527.2,4212.8
2025-10,act,1358.7,2125.6,1576.1,4135.8
2025-11,act,1482.6,2237.9,1683.7,4399.1
2025-12,act,1393.3,2352.3,1601.0,4404.2
2026-01,act,1327.2,2227.2,1553.2,4212.1
2026-02,act,1297.3,2190.2,1505.1,4150.1
2026-03,act,1280.5,2220.6,1502.9,4167.9
2026-04,act,1359.8,2113.0,1581.1,4149.7
2026-05,act,1236.4,2095.2,1434.6,3992.8
2026-06,act,1315.7,2146.4,1516.5,4125.0
2026-07,act,1440.1,2298.0,1674.7,4398.3
2026-08,nc,1404.5,2190.1,1665.8,4260.3
2026-09,nc,965.1,2243.0,1483.2,3865.9
2026-10,fc,1157.9,2262.1,1492.3,4095.9
2026-11,fc,1487.0,2283.5,1725.1,4460.9
2026-12,fc,1493.6,2338.6,1723.2,4517.2
2027-01,fc,1366.2,2166.3,1582.0,4169.3
2027-02,fc,1391.9,2158.1,1602.1,4200.1
2027-03,fc,1399.4,2231.0,1619.7,4293.2
2027-04,fc,1251.7,2121.8,1469.2,4039.7
2027-05,fc,1073.8,2145.0,1258.5,3860.9
2027-06,fc,1249.6,2242.4,1455.4,4131.8
2027-07,fc,1441.6,2268.3,1654.9,4362.6
2027-08,fc,1440.6,2229.8,1665.8,4336.1
2027-09,fc,1278.4,2285.6,1483.2,4221.8
2027-10,fc,1305.6,2329.1,1492.3,4310.6
2027-11,fc,1498.3,2345.5,1725.1,4534.2
2027-12,fc,1499.9,2383.8,1723.2,4568.7
